id,date,store_nbr,family,sales,onpromotion,city,state,type_x,cluster,transactions,type_y,locale,locale_name,description,transferred,dcoilwtico,data
1102953,2014-09-12,6,PLAYERS AND ELECTRONICS,7.0,0,Quito,Pichincha,D,13,1699.0,,,,,,92.18,2014-09-12
1782969,2015-09-30,36,GROCERY I,4669.857,13,Libertad,Guayas,E,10,1288.0,,,,,,45.06,2015-09-30
1514532,2015-05-02,53,PRODUCE,10.0,0,Manta,Manabi,D,13,1039.0,,,,,,59.1,2015-05-02
2048705,2016-02-27,41,SEAFOOD,7.0,0,Machala,El Oro,D,4,1067.0,,,,,,31.65,2016-02-27
2575007,2016-12-19,1,HOME APPLIANCES,0.0,0,Quito,Pichincha,D,13,2144.0,,,,,,52.13,2016-12-19
2023412,2016-02-13,32,HOME APPLIANCES,0.0,0,Guayaquil,Guayas,C,3,804.0,,,,,,29.32,2016-02-13
2535402,2016-11-26,48,GROCERY I,11955.0,118,Quito,Pichincha,A,14,4057.0,,,,,,46.72,2016-11-26
1262443,2014-12-11,30,POULTRY,119.89,12,Guayaquil,Guayas,C,3,762.0,,,,,,60.01,2014-12-11
48811,2013-01-28,29,BOOKS,0.0,0,Guayaquil,Guayas,E,10,0.0,,,,,,95.95,2013-01-28
1044288,2014-08-11,10,BEVERAGES,460.0,0,Quito,Pichincha,C,15,1087.0,,,,,,98.09,2014-08-11
2923462,2017-07-03,36,PERSONAL CARE,327.0,12,Libertad,Guayas,E,10,1090.0,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,46.02,2017-07-03
1710373,2015-08-20,49,HOME AND KITCHEN II,38.0,0,Quito,Pichincha,A,11,2499.0,,,,,,41.0,2015-08-20
1080951,2014-08-31,39,BEVERAGES,1094.0,1,Cuenca,Azuay,B,6,1589.0,,,,,,97.86,2014-08-31
904404,2014-05-24,35,CELEBRATION,0.0,0,Playas,Guayas,C,3,724.0,Holiday,National,Ecuador,Batalla de Pichincha,False,105.01,2014-05-24
2444967,2016-10-07,10,PRODUCE,177.934,2,Quito,Pichincha,C,15,686.0,Holiday,Local,Quevedo,Cantonizacion de Quevedo,False,49.76,2016-10-07
357762,2013-07-20,47,DELI,630.361,0,Quito,Pichincha,A,14,4037.0,,,,,,108.0,2013-07-20
2897956,2017-06-19,20,POULTRY,229.219,0,Quito,Pichincha,B,6,1336.0,,,,,,44.24,2017-06-19
2212030,2016-05-29,25,CLEANING,385.0,5,Salinas,Santa Elena,D,1,823.0,,,,,,49.36,2016-05-29
2706609,2017-03-03,51,HOME AND KITCHEN I,16.0,3,Guayaquil,Guayas,A,17,1700.0,,,,,,53.33,2017-03-03
1539490,2015-05-16,54,CLEANING,1368.0,2,El Carmen,Manabi,C,3,969.0,,,,,,59.73,2015-05-16
2999258,2017-08-15,13,LAWN AND GARDEN,0.0,0,Latacunga,Cotopaxi,C,15,842.0,Holiday,Local,Riobamba,Fundacion de Riobamba,False,47.57,2017-08-15
1744018,2015-09-08,43,BABY CARE,0.0,0,Esmeraldas,Esmeraldas,E,10,1360.0,,,,,,45.92,2015-09-08
1316090,2015-01-11,36,HOME APPLIANCES,0.0,0,Libertad,Guayas,E,10,1109.0,,,,,,48.35,2015-01-11
2548388,2016-12-04,12,PREPARED FOODS,60.0,0,Latacunga,Cotopaxi,C,15,1366.0,,,,,,51.7,2016-12-04
1828712,2015-10-26,2,HOME APPLIANCES,0.0,0,Quito,Pichincha,D,13,1739.0,,,,,,43.19,2015-10-26
2187418,2016-05-15,34,GROCERY II,1.0,1,Guayaquil,Guayas,B,6,2116.0,Event,National,Ecuador,Terremoto Manabi+29,False,46.22,2016-05-15
1624003,2015-07-03,26,CLEANING,415.0,8,Guayaquil,Guayas,D,10,642.0,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False,56.93,2015-07-03
2170494,2016-05-06,1,HOME CARE,183.0,4,Quito,Pichincha,D,13,2076.0,Event,National,Ecuador,Terremoto Manabi+20,False,44.58,2016-05-06
540152,2013-10-31,15,DAIRY,113.0,0,Ibarra,Imbabura,C,15,1214.0,,,,,,96.29,2013-10-31
2891376,2017-06-15,36,HOME AND KITCHEN I,26.0,3,Libertad,Guayas,E,10,1085.0,,,,,,44.47,2017-06-15
2422640,2016-09-24,34,FROZEN FOODS,62.0,14,Guayaquil,Guayas,B,6,2126.0,,,,,,44.36,2016-09-24
1092518,2014-09-07,13,LAWN AND GARDEN,0.0,0,Latacunga,Cotopaxi,C,15,891.0,,,,,,93.32,2014-09-07
2194652,2016-05-19,37,LAWN AND GARDEN,6.0,0,Cuenca,Azuay,D,2,1356.0,,,,,,48.16,2016-05-19
897102,2014-05-20,3,PRODUCE,7.0,0,Quito,Pichincha,D,8,2904.0,,,,,,102.8,2014-05-20
2670902,2017-02-11,5,HARDWARE,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1358.0,,,,,,53.84,2017-02-11
2237176,2016-06-12,30,CLEANING,439.0,10,Guayaquil,Guayas,C,3,657.0,,,,,,49.09,2016-06-12
22941,2013-01-13,52,CELEBRATION,0.0,0,Manta,Manabi,A,11,0.0,,,,,,93.6,2013-01-13
2733115,2017-03-18,45,"LIQUOR,WINE,BEER",340.0,5,Quito,Pichincha,A,11,4396.0,,,,,,48.34,2017-03-18
2115767,2016-04-05,24,BREAD/BAKERY,642.434,0,Guayaquil,Guayas,D,1,2127.0,,,,,,34.52,2016-04-05
1590775,2015-06-14,43,EGGS,158.0,0,Esmeraldas,Esmeraldas,E,10,1563.0,,,,,,59.96,2015-06-14
2613943,2017-01-10,51,GROCERY II,72.0,0,Guayaquil,Guayas,A,17,1489.0,,,,,,50.82,2017-01-10
1617669,2015-06-29,48,DELI,494.516,0,Quito,Pichincha,A,14,2361.0,,,,,,58.34,2015-06-29
2454836,2016-10-12,37,SEAFOOD,15.329,2,Cuenca,Azuay,D,2,1383.0,,,,,,50.14,2016-10-12
9547,2013-01-06,27,EGGS,259.0,0,Daule,Guayas,D,1,1614.0,,,,,,93.12,2013-01-06
2303010,2016-07-19,28,CELEBRATION,15.0,0,Guayaquil,Guayas,E,10,1183.0,,,,,,44.64,2016-07-19
2700893,2017-02-28,41,DAIRY,728.0,12,Machala,El Oro,D,4,1171.0,Holiday,National,Ecuador,Carnaval,False,54.0,2017-02-28
56954,2013-02-01,7,PREPARED FOODS,172.0,0,Quito,Pichincha,D,8,1935.0,,,,,,97.46,2013-02-01
139573,2013-03-20,25,HOME AND KITCHEN II,0.0,0,Salinas,Santa Elena,D,1,982.0,,,,,,93.21,2013-03-20
1260823,2014-12-10,35,PERSONAL CARE,39.0,1,Playas,Guayas,C,3,519.0,,,,,,60.99,2014-12-10
968877,2014-06-29,43,PRODUCE,0.0,0,Esmeraldas,Esmeraldas,E,10,1467.0,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,106.46,2014-06-29
2109464,2016-04-01,47,BREAD/BAKERY,1340.126,2,Quito,Pichincha,A,14,3991.0,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,35.36,2016-04-01
623033,2013-12-16,4,PET SUPPLIES,0.0,0,Quito,Pichincha,D,9,1629.0,,,,,,97.18,2013-12-16
2869886,2017-06-03,33,DAIRY,537.0,14,Quevedo,Los Rios,C,3,1062.0,,,,,,47.68,2017-06-03
392814,2013-08-09,30,HOME AND KITCHEN I,0.0,0,Guayaquil,Guayas,C,3,746.0,,,,,,106.04,2013-08-09
2296802,2016-07-15,53,BEAUTY,7.0,0,Manta,Manabi,D,13,1433.0,,,,,,45.93,2016-07-15
1852031,2015-11-08,24,BREAD/BAKERY,776.544,0,Guayaquil,Guayas,D,1,1797.0,,,,,,44.32,2015-11-08
2898698,2017-06-19,41,FROZEN FOODS,122.206,1,Machala,El Oro,D,4,1050.0,,,,,,44.24,2017-06-19
935333,2014-06-10,52,HARDWARE,0.0,0,Manta,Manabi,A,11,0.0,,,,,,105.02,2014-06-10
1401796,2015-02-28,40,"LIQUOR,WINE,BEER",253.0,0,Machala,El Oro,C,3,1500.0,,,,,,49.84,2015-02-28
1095356,2014-09-08,42,LAWN AND GARDEN,0.0,0,Cuenca,Azuay,D,2,0.0,,,,,,92.64,2014-09-08
1738990,2015-09-05,51,"LIQUOR,WINE,BEER",406.0,0,Guayaquil,Guayas,A,17,1890.0,,,,,,46.02,2015-09-05
585834,2013-11-25,46,HOME CARE,0.0,0,Quito,Pichincha,A,14,2983.0,,,,,,93.86,2013-11-25
1277879,2014-12-20,14,LAWN AND GARDEN,0.0,0,Riobamba,Chimborazo,C,7,1914.0,Work Day,National,Ecuador,Recupero Puente Navidad,False,56.91,2014-12-20
2789356,2017-04-19,23,SCHOOL AND OFFICE SUPPLIES,0.0,0,Ambato,Tungurahua,D,9,963.0,,,,,,50.49,2017-04-19
1354317,2015-02-01,9,PRODUCE,0.0,0,Quito,Pichincha,B,6,2722.0,,,,,,47.79,2015-02-01
1557465,2015-05-26,9,PRODUCE,0.0,0,Quito,Pichincha,B,6,1803.0,,,,,,57.29,2015-05-26
2341729,2016-08-10,14,HOME AND KITCHEN II,12.0,0,Riobamba,Chimborazo,C,7,1259.0,Holiday,National,Ecuador,Primer Grito de Independencia,True,41.75,2016-08-10
489463,2013-10-02,42,CLEANING,0.0,0,Cuenca,Azuay,D,2,0.0,,,,,,104.15,2013-10-02
482232,2013-09-28,4,BEVERAGES,1284.0,0,Quito,Pichincha,D,9,1615.0,Holiday,Local,Ibarra,Fundacion de Ibarra,False,102.86,2013-09-28
2741221,2017-03-23,23,EGGS,42.0,0,Ambato,Tungurahua,D,9,1017.0,,,,,,47.0,2017-03-23
680990,2014-01-19,17,BEAUTY,2.0,0,Quito,Pichincha,C,12,1407.0,,,,,,93.96,2014-01-19
769237,2014-03-09,42,CLEANING,0.0,0,Cuenca,Azuay,D,2,0.0,,,,,,102.82,2014-03-09
372364,2013-07-28,7,PERSONAL CARE,135.0,0,Quito,Pichincha,D,8,1421.0,,,,,,104.76,2013-07-28
2420435,2016-09-23,22,HOME APPLIANCES,0.0,0,Puyo,Pastaza,C,7,634.0,,,,,,44.36,2016-09-23
2067058,2016-03-08,8,BOOKS,0.0,0,Quito,Pichincha,D,8,2817.0,,,,,,36.67,2016-03-08
842011,2014-04-19,34,HOME AND KITCHEN II,0.0,0,Guayaquil,Guayas,B,6,2393.0,,,,,,104.33,2014-04-19
2607526,2017-01-07,21,SCHOOL AND OFFICE SUPPLIES,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,1335.0,,,,,,53.98,2017-01-07
531665,2013-10-26,27,BEAUTY,3.0,0,Daule,Guayas,D,1,1634.0,,,,,,97.4,2013-10-26
1787036,2015-10-02,5,LAWN AND GARDEN,2.0,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1474.0,,,,,,45.54,2015-10-02
1479286,2015-04-13,15,POULTRY,145.076,0,Ibarra,Imbabura,C,15,1614.0,,,,,,51.95,2015-04-13
1314844,2015-01-10,50,PERSONAL CARE,729.0,0,Ambato,Tungurahua,A,14,3015.0,Work Day,National,Ecuador,Recupero Puente Primer dia del ano,False,48.35,2015-01-10
1497049,2015-04-23,14,BOOKS,0.0,0,Riobamba,Chimborazo,C,7,1340.0,,,,,,56.59,2015-04-23
2463380,2016-10-17,27,PREPARED FOODS,77.31,0,Daule,Guayas,D,1,1490.0,,,,,,49.97,2016-10-17
1136326,2014-10-01,42,BOOKS,0.0,0,Cuenca,Azuay,D,2,0.0,,,,,,90.74,2014-10-01
1362613,2015-02-06,41,EGGS,109.0,19,Machala,El Oro,D,4,971.0,,,,,,51.66,2015-02-06
2205670,2016-05-25,46,HOME AND KITCHEN II,41.0,1,Quito,Pichincha,A,14,2549.0,,,,,,49.1,2016-05-25
2457722,2016-10-14,19,HARDWARE,0.0,0,Guaranda,Bolivar,C,15,997.0,,,,,,50.35,2016-10-14
1866286,2015-11-16,24,BOOKS,0.0,0,Guayaquil,Guayas,D,1,2302.0,,,,,,41.68,2015-11-16
161072,2013-04-01,28,SEAFOOD,10.0,0,Guayaquil,Guayas,E,10,964.0,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,97.1,2013-04-01
2438973,2016-10-03,42,DELI,162.251,0,Cuenca,Azuay,D,2,983.0,,,,,,48.8,2016-10-03
1432860,2015-03-18,13,AUTOMOTIVE,1.0,0,Latacunga,Cotopaxi,C,15,786.0,,,,,,44.63,2015-03-18
321453,2013-06-30,29,AUTOMOTIVE,0.0,0,Guayaquil,Guayas,E,10,0.0,,,,,,96.36,2013-06-30
2906037,2017-06-23,47,MEATS,1971.771,52,Quito,Pichincha,A,14,3663.0,Holiday,Local,Guaranda,Cantonizacion de Guaranda,False,42.86,2017-06-23
2987294,2017-08-08,28,BEAUTY,4.0,1,Guayaquil,Guayas,E,10,1211.0,,,,,,49.07,2017-08-08
2006215,2016-02-03,5,GROCERY II,22.0,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1256.0,,,,,,32.29,2016-02-03
2461836,2016-10-16,34,BEVERAGES,3272.0,10,Guayaquil,Guayas,B,6,2056.0,,,,,,50.35,2016-10-16
2656507,2017-02-03,46,CLEANING,2704.0,25,Quito,Pichincha,A,14,3499.0,,,,,,53.81,2017-02-03
1319620,2015-01-13,35,HOME AND KITCHEN II,5.0,0,Playas,Guayas,C,3,590.0,,,,,,45.92,2015-01-13
423313,2013-08-26,36,"LIQUOR,WINE,BEER",17.0,0,Libertad,Guayas,E,10,847.0,,,,,,105.88,2013-08-26
493503,2013-10-04,6,LINGERIE,3.0,0,Quito,Pichincha,D,13,1713.0,,,,,,103.83,2013-10-04
2344303,2016-08-11,36,HOME AND KITCHEN II,9.0,0,Libertad,Guayas,E,10,1023.0,,,,,,43.51,2016-08-11
1904699,2015-12-07,51,BREAD/BAKERY,772.103,0,Guayaquil,Guayas,A,17,1703.0,,,,,,37.64,2015-12-07
2066403,2016-03-08,39,DELI,183.235,0,Cuenca,Azuay,B,6,1277.0,,,,,,36.67,2016-03-08
2499318,2016-11-06,35,PRODUCE,319.106,4,Playas,Guayas,C,3,705.0,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,False,44.07,2016-11-06
548185,2013-11-04,4,"LIQUOR,WINE,BEER",34.0,0,Quito,Pichincha,D,9,1325.0,,,,,,94.58,2013-11-04
2837177,2017-05-16,16,BEAUTY,1.0,1,Santo Domingo,Santo Domingo de los Tsachilas,C,3,709.0,,,,,,48.64,2017-05-16
1145426,2014-10-06,47,PREPARED FOODS,317.365,0,Quito,Pichincha,A,14,3735.0,,,,,,90.33,2014-10-06
208217,2013-04-27,50,LAWN AND GARDEN,1.0,0,Ambato,Tungurahua,A,14,3384.0,,,,,,92.63,2013-04-27
56074,2013-02-01,32,CLEANING,500.0,0,Guayaquil,Guayas,C,3,749.0,,,,,,97.46,2013-02-01
197238,2013-04-21,42,PRODUCE,0.0,0,Cuenca,Azuay,D,2,0.0,Holiday,Local,Riobamba,Cantonizacion de Riobamba,False,88.04,2013-04-21
1343810,2015-01-27,14,HOME APPLIANCES,0.0,0,Riobamba,Chimborazo,C,7,1306.0,,,,,,45.84,2015-01-27
246367,2013-05-19,21,"LIQUOR,WINE,BEER",0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,,,,,,95.72,2013-05-19
1791658,2015-10-05,3,"LIQUOR,WINE,BEER",141.0,0,Quito,Pichincha,D,8,3156.0,,,,,,46.28,2015-10-05
1490983,2015-04-19,43,EGGS,195.0,0,Esmeraldas,Esmeraldas,E,10,1186.0,,,,,,55.71,2015-04-19
1135022,2014-09-30,6,LAWN AND GARDEN,0.0,0,Quito,Pichincha,D,13,1680.0,,,,,,91.17,2014-09-30
2377376,2016-08-30,14,MAGAZINES,3.0,0,Riobamba,Chimborazo,C,7,1142.0,,,,,,46.32,2016-08-30
7791,2013-01-05,28,BEVERAGES,725.0,0,Guayaquil,Guayas,E,10,1033.0,Work Day,National,Ecuador,Recupero puente Navidad,False,93.12,2013-01-05
389846,2013-08-07,47,HOME APPLIANCES,2.0,0,Quito,Pichincha,A,14,3519.0,,,,,,104.41,2013-08-07
1526974,2015-05-09,52,SCHOOL AND OFFICE SUPPLIES,0.0,0,Manta,Manabi,A,11,0.0,Additional,National,Ecuador,Dia de la Madre-1,False,59.41,2015-05-09
1914166,2015-12-13,18,BABY CARE,0.0,0,Quito,Pichincha,B,16,1473.0,,,,,,35.65,2015-12-13
777514,2014-03-14,25,BABY CARE,0.0,0,Salinas,Santa Elena,D,1,1162.0,,,,,,99.23,2014-03-14
2692224,2017-02-23,48,HOME CARE,510.0,6,Quito,Pichincha,A,14,2461.0,,,,,,54.48,2017-02-23
1142131,2014-10-04,6,BABY CARE,0.0,0,Quito,Pichincha,D,13,2330.0,,,,,,89.76,2014-10-04
2980821,2017-08-04,45,PRODUCE,6352.9683,15,Quito,Pichincha,A,11,4132.0,,,,,,49.57,2017-08-04
2019704,2016-02-11,29,BREAD/BAKERY,519.0,0,Guayaquil,Guayas,E,10,1082.0,,,,,,26.19,2016-02-11
2931101,2017-07-07,50,DAIRY,1079.0,37,Ambato,Tungurahua,A,14,2653.0,,,,,,44.25,2017-07-07
978036,2014-07-04,50,HOME AND KITCHEN I,77.0,0,Ambato,Tungurahua,A,14,2571.0,Event,National,Ecuador,Mundial de futbol Brasil: Cuartos de Final,False,104.76,2014-07-04
1641098,2015-07-12,6,DAIRY,1375.0,3,Quito,Pichincha,D,13,2002.0,,,,,,52.74,2015-07-12
792006,2014-03-22,31,CELEBRATION,12.0,0,Babahoyo,Los Rios,B,10,1579.0,,,,,,99.97,2014-03-22
2298054,2016-07-16,39,AUTOMOTIVE,9.0,0,Cuenca,Azuay,B,6,1639.0,,,,,,45.93,2016-07-16
1846468,2015-11-05,18,LADIESWEAR,7.0,0,Quito,Pichincha,B,16,1259.0,,,,,,45.27,2015-11-05
534221,2013-10-27,48,HOME APPLIANCES,4.0,0,Quito,Pichincha,A,14,4083.0,,,,,,97.4,2013-10-27
2355704,2016-08-17,6,SEAFOOD,27.339,2,Quito,Pichincha,D,13,1742.0,,,,,,46.81,2016-08-17
897705,2014-05-20,47,CELEBRATION,0.0,0,Quito,Pichincha,A,14,3473.0,,,,,,102.8,2014-05-20
